Data Number,Codes,Site Name,Latitude,Longitude,Elevation,Min. Depth,Max Depth,No. Temperatures,Temp. Gradient,No. Conductivities,Conductivity,No. Heat Production,Heat Production,Heat Flow,Red. Heat Flow,No. Sites,Reference No.
SU1246,EHLGHB,K-12B,51.4167,157.0833,,-270,,,237,,0.84,,,199,1,67,80
SU1247,EGABHB,NIS-1,53.0667,158.6167,,280,340,,40,,1.7,,,68,1,68,
SU1248,EGABHB,ELIZOVO1,53.2667,158.5,,40,2850,,25,,2.15,,,60,1,68,
SU1249,EGABHB,AVACHA1,53.1,158.7167,,500,700,,22,,2.73,,,62,1,68,
SU1250,EGABHB,AVACHA2,53.1333,158.6833,,560,720,,26,,2.2,,,57,1,68,
SU1251,EGABHB,PINACH1,53.2833,158.4,,40,1261,,41,,1.58,,,80,1,68,
SU1252,EGABHB,MOROZN1,53.1833,158.3167,,40,600,,35,,2.61,,,94,1,68,
SU1253,,PARATU65,52.8333,158.4167,,,,,,,,,,67,2,,
SU1254,EGABHB,NACHIK23,53.1,157.75,,30,184,,50,,2.42,,,122,1,68,
SU1255,EGABHB,B.BANN10,52.85,157.8667,,200,450,,64,,2.28,,,146,1,68,
SU1256,,MALKIN10,53.3167,157.5333,,,,,,,,,,125,3,,
SU1257,EGABHB,MUMOCH1,53.25,157.4167,,0,301,,19,,4.2,,,33,1,68,
SU1258,,MALKIN17,53.3333,157.4667,,,,,,,,,,83,9,,
SU1259,EGABHB,APACHA17,52.9333,157,,40,293,,72,,1.19,,,84,1,68,
SU1260,EGABHB,APACHA1,52.8667,157.35,,300,487,,78,,1.42,,,111,1,68,
SU1261,,APACHAK3,52.9333,157.0333,,,,,,,,,,69,3,,
SU1262,EGABHB,BOLCHER1,52.75,156.3,,40,550,,57,,1.4,,,80,1,68,
SU1263,EGABHB,KIRGANK2,55.1667,157.9,,400,500,,58,,1.65,,,95,1,68,
SU1264,EGABHB,OZERNOV3,51.5,156.6,,480,600,,80,,1.35,,,108,1,68,
SU1265,EGABHB,KOSHEL3,51.3833,156.5333,,420,560,,86,,1.35,,,116,1,68,
SU1266,,VOYAMP2,58.3833,159.3667,,,,,,,,,,59,3,,
SU1267,EGABHB,GAVANS38,57.9833,158.5833,,40,1200,,32,,2.13,,,68,1,68,
SU1268,EGABHB,ROSSOSH4,58.15,158.8667,,40,973,,36,,1.8,,,66,1,68,
SU1269,,MEZHDUR9,55.5,156.35,,,,,,,,,,65,10,,
SU1270,EGABHB,SEVERN1,55.6167,156.1667,,40,2400,,35,,1.92,,,68,1,68,
SU1271,EGABHB,SEVERN2,55.55,156.6167,,40,670,,48,,1.45,,,69,1,68,
SU1272,EGABHB,SEVERN5,55.5,156.55,,40,828,,49,,1.47,,,72,1,68,
SU1273,EGABHB,TVAYAN7,55.4667,156.3167,,40,900,,48,,1.18,,,57,1,68,
SU1274,EGABHB,N-KVAK3,54.75,155.8333,,40,2750,,40,,1.61,,,65,1,68,
SU1275,EGABHB,KSHUKSK1,55.8167,155.8167,,40,3500,,37,,1.54,,,58,1,68,
